,id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,year_x,month,movie_and_year,profit,profit_margin,budget_tier,title,studio,domestic_gross_y,foreign_gross,year_y,movie_id,primary_title,original_title,start_year,runtime_minutes,genres
2,23,2017-04-14,The Fate of the Furious,250000000.0,225764765.0,1234846267.0,2017,Apr,The Fate of the Furious - 2017,984846267.0,79.75456486519872,super-high budget,The Fate of the Furious,Uni.,226000000.0,"1,010.0",2017,tt4630562,The Fate of the Furious,The Fate of the Furious,2017.0,136.0,"Action,Crime,Thriller"
3,34,2015-06-12,Jurassic World,215000000.0,652270625.0,1648854864.0,2015,Jun,Jurassic World - 2015,1433854864.0,86.96064737447989,super-high budget,Jurassic World,Uni.,652300000.0,"1,019.4",2015,tt0369610,Jurassic World,Jurassic World,2015.0,124.0,"Action,Adventure,Sci-Fi"
4,42,2018-02-16,Black Panther,200000000.0,700059566.0,1348258224.0,2018,Feb,Black Panther - 2018,1148258224.0,85.16604635226018,super-high budget,Black Panther,BV,700100000.0,646900000,2018,tt1825683,Black Panther,Black Panther,2018.0,134.0,"Action,Adventure,Sci-Fi"
5,44,2018-06-15,Incredibles 2,200000000.0,608581744.0,1242520711.0,2018,Jun,Incredibles 2 - 2018,1042520711.0,83.90368882953774,super-high budget,Incredibles 2,BV,608600000.0,634200000,2018,tt3606756,Incredibles 2,Incredibles 2,2018.0,118.0,"Action,Adventure,Animation"
6,46,2016-06-17,Finding Dory,200000000.0,486295561.0,1021215193.0,2016,Jun,Finding Dory - 2016,821215193.0,80.41548917692218,super-high budget,Finding Dory,BV,486300000.0,542300000,2016,tt2277860,Finding Dory,Finding Dory,2016.0,97.0,"Adventure,Animation,Comedy"
7,67,2015-04-03,Furious 7,190000000.0,353007020.0,1518722794.0,2015,Apr,Furious 7 - 2015,1328722794.0,87.48948782815201,super-high budget,Furious 7,Uni.,353000000.0,"1,163.0",2015,tt2820852,Furious 7,Furious Seven,2015.0,137.0,"Action,Crime,Thriller"
8,73,2015-11-25,The Good Dinosaur,187500000.0,123087120.0,333771037.0,2015,Nov,The Good Dinosaur - 2015,146271037.0,43.82376563128814,super-high budget,The Good Dinosaur,BV,123100000.0,209100000,2015,tt1979388,The Good Dinosaur,The Good Dinosaur,2015.0,93.0,"Adventure,Animation,Comedy"
11,84,2014-05-30,Maleficent,180000000.0,241407328.0,758536735.0,2014,May,Maleficent - 2014,578536735.0,76.27010114414564,super-high budget,Maleficent,BV,241400000.0,517100000,2014,tt1587310,Maleficent,Maleficent,2014.0,97.0,"Action,Adventure,Family"
17,98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,Jun,Inside Out - 2015,679235992.0,79.51385780523282,super-high budget,Inside Out,BV,356500000.0,501100000,2015,tt2096673,Inside Out,Inside Out,2015.0,95.0,"Adventure,Animation,Comedy"
19,2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,2017,Nov,Coco - 2017,623008101.0,78.0703980597811,super-high budget,Coco,BV,209700000.0,597400000,2017,tt2380307,Coco,Coco,2017.0,105.0,"Adventure,Animation,Comedy"
20,2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,2017,Nov,Coco - 2017,623008101.0,78.0703980597811,super-high budget,Coco,BV,209700000.0,597400000,2017,tt7002100,Coco,Coco,2017.0,98.0,Horror
21,5,2017-06-16,Cars 3,175000000.0,152901115.0,383541369.0,2017,Jun,Cars 3 - 2017,208541369.0,54.372588162712645,super-high budget,Cars 3,BV,152900000.0,231000000,2017,tt3606752,Cars 3,Cars 3,2017.0,102.0,"Adventure,Animation,Comedy"
22,14,2014-08-01,Guardians of the Galaxy,170000000.0,333172112.0,770867516.0,2014,Aug,Guardians of the Galaxy - 2014,600867516.0,77.94692389139406,super-high budget,Guardians of the Galaxy,BV,333200000.0,440200000,2014,tt2015381,Guardians of the Galaxy,Guardians of the Galaxy,2014.0,121.0,"Action,Adventure,Comedy"
23,17,2014-07-11,Dawn of the Planet of the Apes,170000000.0,208545589.0,710644566.0,2014,Jul,Dawn of the Planet of the Apes - 2014,540644566.0,76.07805531295655,super-high budget,Dawn of the Planet of the Apes,Fox,208500000.0,502100000,2014,tt2103281,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,2014.0,130.0,"Action,Adventure,Drama"
24,23,2015-05-22,Tomorrowland,170000000.0,93436322.0,206627518.0,2015,May,Tomorrowland - 2015,36627518.0,17.726350466059415,super-high budget,Tomorrowland,BV,93400000.0,115700000,2015,tt1964418,Tomorrowland,Tomorrowland,2015.0,130.0,"Action,Adventure,Family"
25,26,2016-05-27,Alice Through the Looking Glass,170000000.0,77042381.0,276928112.0,2016,May,Alice Through the Looking Glass - 2016,106928112.0,38.612227277236485,super-high budget,Alice Through the Looking Glass,BV,77000000.0,222400000,2016,tt2567026,Alice Through the Looking Glass,Alice Through the Looking Glass,2016.0,113.0,"Adventure,Family,Fantasy"
26,28,2016-11-04,Doctor Strange,165000000.0,232641920.0,676404566.0,2016,Nov,Doctor Strange - 2016,511404566.0,75.6063148751719,super-high budget,Doctor Strange,BV,232600000.0,445100000,2016,tt1211837,Doctor Strange,Doctor Strange,2016.0,115.0,"Action,Adventure,Fantasy"
27,29,2014-11-07,Big Hero 6,165000000.0,222527828.0,652127828.0,2014,Nov,Big Hero 6 - 2014,487127828.0,74.69821208120565,super-high budget,Big Hero 6,BV,222500000.0,435300000,2014,tt2245084,Big Hero 6,Big Hero 6,2014.0,102.0,"Action,Adventure,Animation"
30,46,2016-06-10,Warcraft,160000000.0,47225655.0,425522281.0,2016,Jun,Warcraft - 2016,265522281.0,62.39914872988754,super-high budget,Warcraft,Uni.,47400000.0,386300000,2016,tt0803096,Warcraft,Warcraft,2016.0,123.0,"Action,Adventure,Fantasy"
31,50,2018-03-23,Pacific Rim Uprising,155000000.0,59874525.0,290930148.0,2018,Mar,Pacific Rim Uprising - 2018,135930148.0,46.722606417537726,super-high budget,Pacific Rim Uprising,Uni.,59900000.0,231100000,2018,tt2557478,Pacific Rim Uprising,Pacific Rim: Uprising,2018.0,111.0,"Action,Adventure,Sci-Fi"
32,52,2017-07-14,War for the Planet of the Apes,152000000.0,146880162.0,489592267.0,2017,Jul,War for the Planet of the Apes - 2017,337592267.0,68.95375800533222,super-high budget,War for the Planet of the Apes,Fox,146900000.0,343800000,2017,tt3450958,War for the Planet of the Apes,War for the Planet of the Apes,2017.0,140.0,"Action,Adventure,Drama"
34,57,2016-03-04,Zootopia,150000000.0,341268248.0,1019429616.0,2016,Mar,Zootopia - 2016,869429616.0,85.28588951647643,super-high budget,Zootopia,BV,341300000.0,682500000,2016,tt2948356,Zootopia,Zootopia,2016.0,108.0,"Adventure,Animation,Comedy"
35,62,2016-11-23,Moana,150000000.0,248757044.0,637517365.0,2016,Nov,Moana - 2016,487517365.0,76.47122914055839,super-high budget,Moana,BV,248800000.0,394600000,2016,tt3521164,Moana,Moana,2016.0,107.0,"Adventure,Animation,Comedy"
38,92,2017-02-17,The Great Wall,150000000.0,45157105.0,334486852.0,2017,Feb,The Great Wall - 2017,184486852.0,55.15518798329329,super-high budget,The Great Wall,Uni.,45500000.0,289400000,2017,tt7535780,The Great Wall,The Great Wall,2017.0,72.0,Documentary
40,99,2014-06-13,How to Train Your Dragon 2,145000000.0,177002924.0,614586270.0,2014,Jun,How to Train Your Dragon 2 - 2014,469586270.0,76.40689239608298,super-high budget,How to Train Your Dragon 2,Fox,177000000.0,444500000,2014,tt1646971,How to Train Your Dragon 2,How to Train Your Dragon 2,2014.0,102.0,"Action,Adventure,Animation"
41,11,2016-01-29,Kung Fu Panda 3,140000000.0,143528619.0,517599142.0,2016,Jan,Kung Fu Panda 3 - 2016,377599142.0,72.95204171725617,super-high budget,Kung Fu Panda 3,Fox,143500000.0,377600000,2016,tt2267968,Kung Fu Panda 3,Kung Fu Panda 3,2016.0,95.0,"Action,Adventure,Animation"
42,17,2016-07-01,The BFG,140000000.0,55483770.0,199646680.0,2016,Jul,The BFG - 2016,59646680.0,29.876119152094088,super-high budget,The BFG,BV,55500000.0,127900000,2016,tt3691740,The BFG,The BFG,2016.0,117.0,"Adventure,Family,Fantasy"
43,27,2015-12-25,The Revenant,135000000.0,183637894.0,532938302.0,2015,Dec,The Revenant - 2015,397938302.0,74.66873754553299,super-high budget,The Revenant,Fox,183600000.0,349300000,2015,tt1663202,The Revenant,The Revenant,2015.0,156.0,"Action,Adventure,Biography"
44,35,2018-11-02,The Nutcracker and the Four Realms,132900000.0,54858851.0,170293899.0,2018,Nov,The Nutcracker and the Four Realms - 2018,37393899.0,21.958449022298794,super-high budget,The Nutcracker and the Four Realms,BV,54900000.0,119100000,2018,tt5523010,The Nutcracker and the Four Realms,The Nutcracker and the Four Realms,2018.0,99.0,"Adventure,Family,Fantasy"
45,37,2014-11-26,Penguins of Madagascar,132000000.0,83350911.0,366942531.0,2014,Nov,Penguins of Madagascar - 2014,234942531.0,64.02706449964504,super-high budget,Penguins of Madagascar,Fox,83400000.0,289700000,2014,tt1911658,Penguins of Madagascar,Penguins of Madagascar,2014.0,92.0,"Adventure,Animation,Comedy"
46,45,2018-12-19,Mary Poppins Returns,130000000.0,171958438.0,341528518.0,2018,Dec,Mary Poppins Returns - 2018,211528518.0,61.9358287380265,super-high budget,Mary Poppins Returns,BV,172000000.0,177600000,2018,tt5028340,Mary Poppins Returns,Mary Poppins Returns,2018.0,130.0,"Comedy,Family,Fantasy"
47,49,2014-04-11,Rio 2,130000000.0,131538435.0,492846291.0,2014,Apr,Rio 2 - 2014,362846291.0,73.62260762149066,super-high budget,Rio 2,Fox,131500000.0,368600000,2014,tt2357291,Rio 2,Rio 2,2014.0,101.0,"Adventure,Animation,Comedy"
49,71,2017-03-31,The Boss Baby,125000000.0,175003033.0,510878762.0,2017,Mar,The Boss Baby - 2017,385878762.0,75.53235536536161,super-high budget,The Boss Baby,Fox,175000000.0,353000000,2017,tt3874544,The Boss Baby,The Boss Baby,2017.0,97.0,"Adventure,Animation,Comedy"
50,73,2016-11-04,Trolls,125000000.0,153707064.0,344150134.0,2016,Nov,Trolls - 2016,219150134.0,63.67864264728138,super-high budget,Trolls,Fox,153700000.0,193200000,2016,tt1679335,Trolls,Trolls,2016.0,92.0,"Adventure,Animation,Comedy"
51,78,2018-07-13,Skyscraper,125000000.0,68420120.0,304115534.0,2018,Jul,Skyscraper - 2018,179115534.0,58.89719990429689,super-high budget,Skyscraper,Uni.,68400000.0,236400000,2018,tt5758778,Skyscraper,Skyscraper,2018.0,102.0,"Action,Adventure,Thriller"
52,86,2016-07-29,Jason Bourne,120000000.0,162192920.0,416168316.0,2016,Jul,Jason Bourne - 2016,296168316.0,71.1655127537388,super-high budget,Jason Bourne,Uni.,162400000.0,253100000,2016,tt4196776,Jason Bourne,Jason Bourne,2016.0,123.0,"Action,Thriller"
53,98,2015-08-07,Fantastic Four,120000000.0,56117548.0,167849187.0,2015,Aug,Fantastic Four - 2015,47849187.0,28.50724978489172,super-high budget,Fantastic Four,Fox,56100000.0,111900000,2015,tt1502712,Fantastic Four,Fantastic Four,2015.0,100.0,"Action,Adventure,Drama"
54,14,2017-12-15,Ferdinand,111000000.0,84410380.0,289847930.0,2017,Dec,Ferdinand - 2017,178847930.0,61.704056330504066,super-high budget,Ferdinand,Fox,84400000.0,211700000,2017,tt3411444,Ferdinand,Ferdinand,2017.0,108.0,"Adventure,Animation,Comedy"
55,15,2018-05-18,Deadpool 2,110000000.0,324591735.0,786680557.0,2018,May,Deadpool 2 - 2018,676680557.0,86.01719604975568,super-high budget,Deadpool 2,Fox,318500000.0,460500000,2018,tt5463162,Deadpool 2,Deadpool 2,2018.0,119.0,"Action,Adventure,Comedy"
56,19,2015-05-29,San Andreas,110000000.0,155190832.0,456258539.0,2015,May,San Andreas - 2015,346258539.0,75.89086217628028,super-high budget,San Andreas,WB (NL),155200000.0,318800000,2015,tt2126355,San Andreas,San Andreas,2015.0,114.0,"Action,Adventure,Drama"
57,46,2015-10-02,The Martian,108000000.0,228433663.0,655271443.0,2015,Oct,The Martian - 2015,547271443.0,83.5182806829566,super-high budget,The Martian,Fox,228400000.0,401700000,2015,tt3659388,The Martian,The Martian,2015.0,144.0,"Adventure,Drama,Sci-Fi"
59,58,2018-03-09,A Wrinkle in Time,103000000.0,100478608.0,133401882.0,2018,Mar,A Wrinkle in Time - 2018,30401882.0,22.789694975967432,super-high budget,A Wrinkle in Time,BV,100500000.0,32200000,2018,tt1620680,A Wrinkle in Time,A Wrinkle in Time,2018.0,109.0,"Adventure,Family,Fantasy"
61,96,2014-08-15,The Expendables 3,100000000.0,39322544.0,209461378.0,2014,Aug,The Expendables 3 - 2014,109461378.0,52.258501803611736,super-high budget,The Expendables 3,LGF,39300000.0,175300000,2014,tt2333784,The Expendables 3,The Expendables 3,2014.0,126.0,"Action,Adventure,Thriller"
64,7,2015-11-06,The Peanuts Movie,99000000.0,130178411.0,250091610.0,2015,Nov,The Peanuts Movie - 2015,151091610.0,60.41450570852817,super-high budget,The Peanuts Movie,Fox,130199999.0,116100000,2015,tt2452042,The Peanuts Movie,The Peanuts Movie,2015.0,88.0,"Adventure,Animation,Comedy"
65,24,2015-02-06,Seventh Son,95000000.0,17725785.0,108874967.0,2015,Feb,Seventh Son - 2015,13874967.0,12.743945998165032,super-high budget,Seventh Son,Uni.,17200000.0,97000000,2015,,,,,,
70,25,2017-12-20,The Greatest Showman,84000000.0,174340174.0,386665550.0,2017,Dec,The Greatest Showman - 2017,302665550.0,78.2757993309722,super-high budget,The Greatest Showman,Fox,174300000.0,260700000,2017,tt1485796,The Greatest Showman,The Greatest Showman,2017.0,105.0,"Biography,Drama,Musical"
77,26,2016-07-08,The Secret Life of Pets,75000000.0,368384330.0,886750534.0,2016,Jul,The Secret Life of Pets - 2016,811750534.0,91.54215338764035,super-high budget,The Secret Life of Pets,Uni.,368400000.0,507100000,2016,tt2709768,The Secret Life of Pets,The Secret Life of Pets,2016.0,87.0,"Adventure,Animation,Comedy"
78,29,2016-12-21,Sing,75000000.0,270329045.0,634454789.0,2016,Dec,Sing - 2016,559454789.0,88.17882671857332,super-high budget,Sing,Uni.,270400000.0,363800000,2016,tt3470600,Sing,Sing,2016.0,108.0,"Animation,Comedy,Family"
79,30,2017-06-30,Despicable Me 3,75000000.0,264624300.0,1034727750.0,2017,Jun,Despicable Me 3 - 2017,959727750.0,92.75171657472218,super-high budget,Despicable Me 3,Uni.,264600000.0,770200000,2017,tt3469046,Despicable Me 3,Despicable Me 3,2017.0,89.0,"Adventure,Animation,Comedy"
81,73,2015-07-10,Minions,74000000.0,336045770.0,1160336173.0,2015,Jul,Minions - 2015,1086336173.0,93.62253787118641,super-high budget,Minions,Uni.,336000000.0,823400000,2015,tt2293640,Minions,Minions,2015.0,91.0,"Adventure,Animation,Comedy"
85,21,2014-10-10,Dracula Untold,70000000.0,55991880.0,220241723.0,2014,Oct,Dracula Untold - 2014,150241723.0,68.21673975007906,super-high budget,Dracula Untold,Uni.,56300000.0,160800000,2014,tt0829150,Dracula Untold,Dracula Untold,2014.0,92.0,"Action,Drama,Fantasy"
86,52,2018-03-02,Red Sparrow,69000000.0,46874505.0,145951861.0,2018,Mar,Red Sparrow - 2018,76951861.0,52.72413826912423,high budget,Red Sparrow,Fox,46900000.0,104700000,2018,tt2873282,Red Sparrow,Red Sparrow,2018.0,140.0,"Action,Drama,Thriller"
87,55,2015-06-26,Ted 2,68000000.0,81476385.0,217214143.0,2015,Jun,Ted 2 - 2015,149214143.0,68.69448781702948,high budget,Ted 2,Uni.,81500000.0,135200000,2015,tt2637276,Ted 2,Ted 2,2015.0,115.0,Comedy
88,70,2014-03-14,Need for Speed,66000000.0,43568507.0,194169619.0,2014,Mar,Need for Speed - 2014,128169619.0,66.00910052771954,high budget,Need for Speed,BV,43600000.0,159700000,2014,tt2369135,Need for Speed,Need for Speed,2014.0,132.0,"Action,Crime,Thriller"
89,82,2014-12-25,Unbroken,65000000.0,115637895.0,163527824.0,2014,Dec,Unbroken - 2014,98527824.0,60.2514126281042,high budget,Unbroken,Uni.,115600000.0,47800000,2014,tt1809398,Unbroken,Unbroken,2014.0,137.0,"Biography,Drama,Sport"
90,83,2015-06-05,Spy,65000000.0,110825712.0,232585748.0,2015,Jun,Spy - 2015,167585748.0,72.05331772951111,high budget,Spy,Fox,110800000.0,124800000,2015,tt3079380,Spy,Spy,2015.0,119.0,"Action,Comedy,Crime"
91,28,2017-09-15,American Assassin,63000000.0,36249674.0,68310140.0,2017,Sep,American Assassin - 2017,5310140.0,7.7735750504976275,high budget,American Assassin,LGF,36200000.0,31000000,2017,tt1961175,American Assassin,American Assassin,2017.0,112.0,"Action,Thriller"
93,36,2014-10-03,Gone Girl,61000000.0,167767189.0,368567189.0,2014,Oct,Gone Girl - 2014,307567189.0,83.44942202654941,high budget,Gone Girl,Fox,167800000.0,201600000,2014,tt2267998,Gone Girl,Gone Girl,2014.0,149.0,"Drama,Mystery,Thriller"
95,80,2016-03-04,London Has Fallen,60000000.0,62524260.0,195194085.0,2016,Mar,London Has Fallen - 2016,135194085.0,69.26136363199736,high budget,London Has Fallen,Focus,62500000.0,143200000,2016,tt3300542,London Has Fallen,London Has Fallen,2016.0,99.0,"Action,Thriller"
97,88,2015-12-25,Joy,60000000.0,56451232.0,101134059.0,2015,Dec,Joy - 2015,41134059.0,40.67280538992309,high budget,Joy,Fox,56500000.0,44700000,2015,tt2446980,Joy,Joy,2015.0,124.0,Drama
98,94,2014-09-26,The Boxtrolls,60000000.0,50837305.0,111946251.0,2014,Sep,The Boxtrolls - 2014,51946251.0,46.40285006060631,high budget,The Boxtrolls,Focus,50800000.0,58400000,2014,tt0787474,The Boxtrolls,The Boxtrolls,2014.0,96.0,"Adventure,Animation,Comedy"
101,6,2018-10-12,First Man,60000000.0,44936545.0,105203825.0,2018,Oct,First Man - 2018,45203825.0,42.96785311750785,high budget,First Man,Uni.,44900000.0,60800000,2018,tt1213641,First Man,First Man,2018.0,141.0,"Biography,Drama,History"
103,56,2016-02-12,Deadpool,58000000.0,363070709.0,801025593.0,2016,Feb,Deadpool - 2016,743025593.0,92.75928253643202,high budget,Deadpool,Fox,363100000.0,420000000,2016,tt1431045,Deadpool,Deadpool,2016.0,108.0,"Action,Adventure,Comedy"
106,77,2014-12-25,Into the Woods,56200000.0,128002372.0,213116401.0,2014,Dec,Into the Woods - 2014,156916401.0,73.62943455487502,high budget,Into the Woods,BV,128000000.0,85100000,2014,tt2180411,Into the Woods,Into the Woods,2014.0,125.0,"Adventure,Comedy,Drama"
107,84,2018-11-02,Bohemian Rhapsody,55000000.0,216303339.0,894985342.0,2018,Nov,Bohemian Rhapsody - 2018,839985342.0,93.85464795690474,high budget,Bohemian Rhapsody,Fox,216400000.0,687200000,2018,tt1727824,Bohemian Rhapsody,Bohemian Rhapsody,2018.0,134.0,"Biography,Drama,Music"
108,91,2017-02-10,Fifty Shades Darker,55000000.0,114434010.0,381398492.0,2017,Feb,Fifty Shades Darker - 2017,326398492.0,85.57938713611904,high budget,Fifty Shades Darker,Uni.,114600000.0,267000000,2017,tt4465564,Fifty Shades Darker,Fifty Shades Darker,2017.0,118.0,"Drama,Romance"
110,97,2018-02-09,Fifty Shades Freed,55000000.0,100407760.0,371350619.0,2018,Feb,Fifty Shades Freed - 2018,316350619.0,85.18919932108689,high budget,Fifty Shades Freed,Uni.,100400000.0,271500000,2018,tt4477536,Fifty Shades Freed,Fifty Shades Freed,2018.0,105.0,"Drama,Romance,Thriller"
112,20,2014-03-21,Muppets Most Wanted,55000000.0,51178893.0,79312301.0,2014,Mar,Muppets Most Wanted - 2014,24312301.0,30.653884319911484,high budget,Muppets Most Wanted,BV,51200000.0,29200000,2014,tt2281587,Muppets Most Wanted,Muppets Most Wanted,2014.0,107.0,"Adventure,Comedy,Crime"
113,22,2016-08-19,Kubo and the Two Strings,55000000.0,48023088.0,77548122.0,2016,Aug,Kubo and the Two Strings - 2016,22548122.0,29.07629665100078,high budget,Kubo and the Two Strings,Focus,48000000.0,21900000,2016,tt4302938,Kubo and the Two Strings,Kubo and the Two Strings,2016.0,101.0,"Action,Adventure,Animation"
114,33,2015-10-16,Crimson Peak,55000000.0,31090320.0,74966854.0,2015,Oct,Crimson Peak - 2015,19966854.0,26.634242914875415,high budget,Crimson Peak,Uni.,31100000.0,43600000,2015,tt2554274,Crimson Peak,Crimson Peak,2015.0,119.0,"Drama,Fantasy,Horror"
118,91,2016-06-17,Central Intelligence,50000000.0,127440871.0,217194805.0,2016,Jun,Central Intelligence - 2016,167194805.0,76.9791915603138,high budget,Central Intelligence,WB (NL),127400000.0,89500000,2016,tt1489889,Central Intelligence,Central Intelligence,2016.0,107.0,"Action,Comedy,Crime"
123,9,2017-12-22,The Post,50000000.0,81903458.0,179748880.0,2017,Dec,The Post - 2017,129748880.0,72.18341499540915,high budget,The Post,Fox,81900000.0,97900000,2017,tt6294822,The Post,The Post,2017.0,116.0,"Biography,Drama,History"
124,32,2017-09-29,American Made,50000000.0,51342000.0,135569212.0,2017,Sep,American Made - 2017,85569212.0,63.11846970092295,high budget,American Made,Uni.,51300000.0,83500000,2017,tt3532216,American Made,American Made,2017.0,115.0,"Action,Biography,Comedy"
131,18,2015-01-09,Taken 3,48000000.0,89256424.0,327656424.0,2015,Jan,Taken 3 - 2015,279656424.0,85.35050849483726,middle budget,Taken 3,Fox,89300000.0,237200000,2015,,,,,,
134,58,2017-12-22,Pitch Perfect 3,45000000.0,104897530.0,185736412.0,2017,Dec,Pitch Perfect 3 - 2017,140736412.0,75.77211731644735,middle budget,Pitch Perfect 3,Uni.,104900000.0,80500000,2017,tt4765284,Pitch Perfect 3,Pitch Perfect 3,2017.0,93.0,"Comedy,Music"
138,51,2017-05-12,Snatched,42000000.0,45852178.0,57852177.0,2017,May,Snatched - 2017,15852177.0,27.40117627725574,middle budget,Snatched,Fox,45900000.0,15000000,2017,tt2334871,Snatched,Snatched,2017.0,90.0,"Action,Adventure,Comedy"
139,78,2015-02-13,Fifty Shades of Grey,40000000.0,166167230.0,570998101.0,2015,Feb,Fifty Shades of Grey - 2015,530998101.0,92.99472276178375,middle budget,Fifty Shades of Grey,Uni.,166200000.0,404800000,2015,tt2322441,Fifty Shades of Grey,Fifty Shades of Grey,2015.0,125.0,"Drama,Romance,Thriller"
140,83,2014-07-25,Lucy,40000000.0,126573960.0,457507776.0,2014,Jul,Lucy - 2014,417507776.0,91.25697920378079,middle budget,Lucy,Uni.,126700000.0,336700000,2014,tt2872732,Lucy,Lucy,2014.0,89.0,"Action,Sci-Fi,Thriller"
141,95,2016-01-15,Ride Along 2,40000000.0,90862685.0,124827316.0,2016,Jan,Ride Along 2 - 2016,84827316.0,67.95573174063921,middle budget,Ride Along 2,Uni.,91200000.0,33400000,2016,tt2869728,Ride Along 2,Ride Along 2,2016.0,102.0,"Action,Comedy,Crime"
144,1,2014-11-14,Dumb and Dumber To,40000000.0,86208010.0,156553592.0,2014,Nov,Dumb and Dumber To - 2014,116553592.0,74.44964405543631,middle budget,Dumb and Dumber To,Uni.,86200000.0,83600000,2014,tt2096672,Dumb and Dumber To,Dumb and Dumber To,2014.0,109.0,"Adventure,Comedy"
146,10,2015-10-16,Bridge of Spies,40000000.0,72313754.0,162498338.0,2015,Oct,Bridge of Spies - 2015,122498338.0,75.38436362346057,middle budget,Bridge of Spies,BV,72300000.0,93200000,2015,tt3682448,Bridge of Spies,Bridge of Spies,2015.0,142.0,"Drama,History,Thriller"
147,17,2016-11-04,Hacksaw Ridge,40000000.0,67209615.0,168904682.0,2016,Nov,Hacksaw Ridge - 2016,128904682.0,76.31800402075297,middle budget,Hacksaw Ridge,LGF,67200000.0,108100000,2016,tt2119532,Hacksaw Ridge,Hacksaw Ridge,2016.0,139.0,"Biography,Drama,History"
150,50,2018-11-16,Widows,40000000.0,42402632.0,73866088.0,2018,Nov,Widows - 2018,33866088.0,45.84795122763236,middle budget,Widows,Fox,42400000.0,33600000,2018,tt4218572,Widows,Widows,2018.0,129.0,"Crime,Drama,Thriller"
152,62,2018-01-12,The Commuter,40000000.0,36343858.0,101985431.0,2018,Jan,The Commuter - 2018,61985431.0,60.77871161813299,middle budget,The Commuter,LGF,36300000.0,83600000,2018,tt1590193,The Commuter,The Commuter,2018.0,105.0,"Action,Mystery,Thriller"
153,69,2016-12-21,Patriots Day,40000000.0,31886361.0,52837989.0,2016,Dec,Patriots Day - 2016,12837989.0,24.296891768534188,middle budget,Patriots Day,LGF,31900000.0,18700000,2016,tt4572514,Patriots Day,Patriots Day,2016.0,133.0,"Action,Crime,Drama"
156,91,2015-11-25,Creed,37000000.0,109767581.0,173567581.0,2015,Nov,Creed - 2015,136567581.0,78.68265502876369,middle budget,Creed,WB (NL),109800000.0,63800000,2015,tt3076658,Creed,Creed,2015.0,133.0,"Drama,Sport"
157,94,2018-02-23,Game Night,37000000.0,69179066.0,117378084.0,2018,Feb,Game Night - 2018,80378084.0,68.47793153618012,middle budget,Game Night,WB (NL),69200000.0,48500000,2018,tt2704998,Game Night,Game Night,2018.0,100.0,"Action,Comedy,Crime"
159,13,2016-12-16,Collateral Beauty,36000000.0,31016021.0,85309093.0,2016,Dec,Collateral Beauty - 2016,49309093.0,57.800512543252566,middle budget,Collateral Beauty,WB (NL),31000000.0,57500000,2016,tt4682786,Collateral Beauty,Collateral Beauty,2016.0,97.0,"Drama,Romance"
160,24,2017-09-08,It,35000000.0,327481748.0,697457969.0,2017,Sep,It - 2017,662457969.0,94.98177645741403,middle budget,It,WB (NL),327500000.0,372900000,2017,tt1396484,It,It,2017.0,135.0,"Horror,Thriller"
161,36,2015-07-17,Trainwreck,35000000.0,110212700.0,141123897.0,2015,Jul,Trainwreck - 2015,106123897.0,75.19909757027189,middle budget,Trainwreck,Uni.,110200000.0,30600000,2015,tt3152624,Trainwreck,Trainwreck,2015.0,125.0,"Comedy,Drama,Romance"
164,79,2015-05-08,Hot Pursuit,35000000.0,34580201.0,45671512.0,2015,May,Hot Pursuit - 2015,10671512.0,23.365795290508444,middle budget,Hot Pursuit,WB (NL),34600000.0,17100000,2015,tt2967224,Hot Pursuit,Hot Pursuit,2015.0,87.0,"Action,Comedy,Crime"
169,40,2017-10-20,The Snowman,35000000.0,6670765.0,43226146.0,2017,Oct,The Snowman - 2017,8226146.0,19.030486779922505,middle budget,The Snowman,Uni.,6700000.0,36400000,2017,tt1758810,The Snowman,The Snowman,2017.0,119.0,"Crime,Drama,Mystery"
171,60,2014-09-19,The Maze Runner,34000000.0,102427862.0,348319861.0,2014,Sep,The Maze Runner - 2014,314319861.0,90.23885692237343,middle budget,The Maze Runner,Fox,102400000.0,245900000,2014,tt1790864,The Maze Runner,The Maze Runner,2014.0,113.0,"Action,Mystery,Sci-Fi"
172,61,2015-04-10,The Longest Ride,34000000.0,37446117.0,63802928.0,2015,Apr,The Longest Ride - 2015,29802928.0,46.71090956828815,middle budget,The Longest Ride,Fox,37400000.0,25500000,2015,tt2726560,The Longest Ride,The Longest Ride,2015.0,123.0,"Drama,Romance"
173,64,2018-08-03,The Darkest Minds,34000000.0,12695691.0,38361428.0,2018,Aug,The Darkest Minds - 2018,4361428.0,11.369305647328874,middle budget,The Darkest Minds,Fox,12700000.0,28400000,2018,tt4073790,The Darkest Minds,The Darkest Minds,2018.0,104.0,"Action,Adventure,Drama"
174,73,2016-07-08,Mike and Dave Need Wedding Dates,33000000.0,46009673.0,75898100.0,2016,Jul,Mike and Dave Need Wedding Dates - 2016,42898100.0,56.52065071457651,middle budget,Mike and Dave Need Wedding Dates,Fox,46000000.0,31100000,2016,tt2823054,Mike and Dave Need Wedding Dates,Mike and Dave Need Wedding Dates,2016.0,98.0,"Adventure,Comedy,Romance"
