,id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,year_x,month,movie_and_year,profit,profit_margin,budget_tier,title,studio,domestic_gross_y,foreign_gross,year_y,movie_id,primary_title,original_title,start_year,runtime_minutes,genres
236,3,2014-07-02,Tammy,20000000.0,84525432.0,96407655.0,2014,Jul,Tammy - 2014,76407655.0,79.25475938606742,low budget,Tammy,WB (NL),84500000.0,16000000,2014,tt2103254,Tammy,Tammy,2014.0,97.0,"Comedy,Romance"
237,20,2016-06-03,Me Before You,20000000.0,56245075.0,208265198.0,2016,Jun,Me Before You - 2016,188265198.0,90.39685929667424,low budget,Me Before You,WB (NL),56200000.0,152100000,2016,tt2674426,Me Before You,Me Before You,2016.0,106.0,"Drama,Romance"
238,24,2018-09-14,A Simple Favor,20000000.0,53548586.0,97628717.0,2018,Sep,A Simple Favor - 2018,77628717.0,79.51422428300476,low budget,A Simple Favor,LGF,53500000.0,44100000,2018,tt7040874,A Simple Favor,A Simple Favor,2018.0,117.0,"Comedy,Crime,Drama"
239,34,2015-11-06,Spotlight,20000000.0,45055776.0,92088460.0,2015,Nov,Spotlight - 2015,72088460.0,78.28175213267764,low budget,Spotlight,ORF,45100000.0,53200000,2015,tt1895587,Spotlight,Spotlight,2015.0,129.0,"Crime,Drama"
240,34,2015-11-06,Spotlight,20000000.0,45055776.0,92088460.0,2015,Nov,Spotlight - 2015,72088460.0,78.28175213267764,low budget,Spotlight,ORF,45100000.0,53200000,2015,tt7785302,Spotlight,Spotlight,2015.0,99.0,Drama
242,43,2016-07-27,Nerve,20000000.0,38583626.0,70652284.0,2016,Jul,Nerve - 2016,50652284.0,71.69235179997861,low budget,Nerve,LGF,38600000.0,46700000,2016,tt3531824,Nerve,Nerve,2016.0,96.0,"Action,Adventure,Crime"
245,81,2018-12-25,On the Basis of Sex,20000000.0,24622687.0,38073377.0,2018,Dec,On the Basis of Sex - 2018,18073377.0,47.4698553795215,low budget,On the Basis of Sex,Focus,24600000.0,13600000,2018,tt4669788,On the Basis of Sex,On the Basis of Sex,2018.0,120.0,"Biography,Drama"
248,33,2016-02-26,Triple 9,20000000.0,12639297.0,25943792.0,2016,Feb,Triple 9 - 2016,5943792.0,22.910266933993302,low budget,Triple 9,ORF,12600000.0,10500000,2016,tt1712261,Triple 9,Triple 9,2016.0,115.0,"Crime,Thriller"
249,34,2016-09-02,The Light Between Oceans,20000000.0,12545979.0,22281732.0,2016,Sep,The Light Between Oceans - 2016,2281732.0,10.240370901148978,low budget,The Light Between Oceans,BV,12500000.0,13400000,2016,tt2547584,The Light Between Oceans,The Light Between Oceans,2016.0,133.0,"Drama,Romance"
250,19,2017-12-01,The Shape of Water,19500000.0,63859435.0,195790794.0,2017,Dec,The Shape of Water - 2017,176290794.0,90.04038974375884,low budget,The Shape of Water,FoxS,63900000.0,131400000,2017,tt5580390,The Shape of Water,The Shape of Water,2017.0,123.0,"Adventure,Drama,Fantasy"
252,64,2014-05-09,Neighbors,18000000.0,150086800.0,270944428.0,2014,May,Neighbors - 2014,252944428.0,93.35657125969757,low budget,Neighbors,Uni.,150200000.0,120500000,2014,tt2004420,Neighbors,Neighbors,2014.0,97.0,Comedy
253,77,2016-03-25,My Big Fat Greek Wedding 2,18000000.0,59689605.0,92096558.0,2016,Mar,My Big Fat Greek Wedding 2 - 2016,74096558.0,80.45529562570623,low budget,My Big Fat Greek Wedding 2,Uni.,59700000.0,29200000,2016,tt3760922,My Big Fat Greek Wedding 2,My Big Fat Greek Wedding 2,2016.0,94.0,"Comedy,Romance"
254,78,2015-09-11,The Perfect Guy,18000000.0,57027435.0,60278166.0,2015,Sep,The Perfect Guy - 2015,42278166.0,70.13844117287842,low budget,The Perfect Guy,SGem,57000000.0,3200000,2015,tt3862750,The Perfect Guy,The Perfect Guy,2015.0,100.0,"Crime,Drama,Horror"
257,98,2015-11-13,Love the Coopers,18000000.0,26302731.0,42227490.0,2015,Nov,Love the Coopers - 2015,24227490.0,57.37373923953329,low budget,Love the Coopers,LGF,26300000.0,16100000,2015,tt2279339,Love the Coopers,Love the Coopers,2015.0,107.0,"Comedy,Fantasy,Romance"
258,9,2016-01-15,Norm of the North,18000000.0,17062499.0,30535660.0,2016,Jan,Norm of the North - 2016,12535660.0,41.05252678343943,low budget,Norm of the North,LGF,17100000.0,,2016,tt1594972,Norm of the North,Norm of the North,2016.0,90.0,"Adventure,Animation,Comedy"
261,81,2016-11-11,Almost Christmas,17000000.0,42065185.0,42493506.0,2016,Nov,Almost Christmas - 2016,25493506.0,59.993887065943674,low budget,Almost Christmas,Uni.,42200000.0,422000,2016,tt4649416,Almost Christmas,Almost Christmas,2016.0,111.0,"Comedy,Drama"
265,21,2018-08-10,BlacKkKlansman,15000000.0,49275340.0,93017335.0,2018,Aug,BlacKkKlansman - 2018,78017335.0,83.87397359857708,low budget,BlacKkKlansman,Focus,49300000.0,44000000,2018,tt7349662,BlacKkKlansman,BlacKkKlansman,2018.0,135.0,"Biography,Crime,Drama"
266,28,2015-12-04,Krampus,15000000.0,42725475.0,61788393.0,2015,Dec,Krampus - 2015,46788393.0,75.72359585399802,low budget,Krampus,Uni.,42700000.0,18800000,2015,tt3850590,Krampus,Krampus,2015.0,98.0,"Comedy,Fantasy,Horror"
267,35,2014-11-07,The Theory of Everything,15000000.0,35893537.0,123327692.0,2014,Nov,The Theory of Everything - 2014,108327692.0,87.8372815085196,low budget,The Theory of Everything,Focus,35900000.0,87800000,2014,tt2980516,The Theory of Everything,The Theory of Everything,2014.0,123.0,"Biography,Drama,Romance"
268,39,2018-11-23,The Favourite,15000000.0,34366783.0,94113929.0,2018,Nov,The Favourite - 2018,79113929.0,84.06187037415046,low budget,The Favourite,FoxS,34400000.0,61600000,2018,tt5083738,The Favourite,The Favourite,2018.0,119.0,"Biography,Drama,History"
270,57,2017-09-08,Home Again,15000000.0,27020284.0,37336874.0,2017,Sep,Home Again - 2017,22336874.0,59.82523871709239,low budget,Home Again,ORF,27000000.0,,2017,tt5719700,Home Again,Home Again,2017.0,97.0,"Comedy,Drama,Romance"
272,70,2016-04-29,Keanu,15000000.0,20591853.0,20688141.0,2016,Apr,Keanu - 2016,5688141.0,27.494693699158372,low budget,Keanu,WB (NL),20600000.0,,2016,tt4139124,Keanu,Keanu,2016.0,100.0,"Action,Comedy,Crime"
277,16,2015-10-23,Suffragette,14000000.0,4702420.0,34044909.0,2015,Oct,Suffragette - 2015,20044909.0,58.877845730179516,low budget,Suffragette,Focus,4700000.0,11300000,2015,tt3077214,Suffragette,Suffragette,2015.0,106.0,"Biography,Drama,History"
278,49,2018-07-04,The First Purge,13000000.0,69488745.0,136617305.0,2018,Jul,The First Purge - 2018,123617305.0,90.48436799423031,low budget,The First Purge,Uni.,69500000.0,67500000,2018,tt6133466,The First Purge,The First Purge,2018.0,98.0,"Action,Horror,Sci-Fi"
282,72,2015-04-10,Ex Machina,13000000.0,25440971.0,38358392.0,2015,Apr,Ex Machina - 2015,25358392.0,66.10911114313656,low budget,Ex Machina,A24,25400000.0,11400000,2015,,,,,,
284,80,2015-10-16,Room,13000000.0,14677674.0,36262783.0,2015,Oct,Room - 2015,23262783.0,64.15057277870814,low budget,Room,A24,14700000.0,20700000,2015,tt3170832,Room,Room,2015.0,118.0,"Drama,Thriller"
287,99,2015-12-04,Youth,13000000.0,2703296.0,24001573.0,2015,Dec,Youth - 2015,11001573.0,45.836883274275394,low budget,Youth,FoxS,2700000.0,,2015,tt3312830,Youth,Youth,2015.0,124.0,"Comedy,Drama,Music"
288,3,2015-07-24,The Vatican Tapes,13000000.0,1784763.0,14929184.0,2015,Jul,The Vatican Tapes - 2015,1929184.0,12.922233391992489,low budget,The Vatican Tapes,LGF,1800000.0,,2015,tt1524575,The Vatican Tapes,The Vatican Tapes,2015.0,91.0,"Horror,Thriller"
290,16,2014-09-12,The Drop,12600000.0,10724389.0,19054534.0,2014,Sep,The Drop - 2014,6454534.0,33.87400605021356,low budget,The Drop,FoxS,10700000.0,7900000,2014,tt1600196,The Drop,The Drop,2014.0,106.0,"Crime,Drama"
293,68,2015-07-24,Paper Towns,12000000.0,32000304.0,85450484.0,2015,Jul,Paper Towns - 2015,73450484.0,85.95677936710106,low budget,Paper Towns,Fox,32000000.0,53500000,2015,tt3622592,Paper Towns,Paper Towns,2015.0,109.0,"Comedy,Drama,Mystery"
294,77,2016-08-12,Hell or High Water,12000000.0,27007844.0,37584304.0,2016,Aug,Hell or High Water - 2016,25584304.0,68.0717780486237,low budget,Hell or High Water,LGF,27000000.0,10900000,2016,tt2582782,Hell or High Water,Hell or High Water,2016.0,102.0,"Action,Crime,Drama"
301,62,2016-01-22,Dirty Grandpa,11500000.0,35593113.0,105078449.0,2016,Jan,Dirty Grandpa - 2016,93578449.0,89.05579582736323,low budget,Dirty Grandpa,LGF,35600000.0,58500000,2016,tt1860213,Dirty Grandpa,Dirty Grandpa,2016.0,102.0,Comedy
302,73,2014-08-22,If I Stay,11000000.0,50474843.0,78356170.0,2014,Aug,If I Stay - 2014,67356170.0,85.96153946779175,low budget,If I Stay,WB (NL),50500000.0,28400000,2014,tt1355630,If I Stay,If I Stay,2014.0,107.0,"Drama,Fantasy,Music"
303,79,2015-11-04,Brooklyn,11000000.0,38322743.0,62076141.0,2015,Nov,Brooklyn - 2015,51076141.0,82.27982631845623,low budget,Brooklyn,FoxS,38300000.0,23800000,2015,tt2381111,Brooklyn,Brooklyn,2015.0,117.0,"Drama,Romance"
307,51,2015-06-05,Insidious Chapter 3,10000000.0,52218558.0,120453155.0,2015,Jun,Insidious Chapter 3 - 2015,110453155.0,91.69801737447226,low budget,Insidious Chapter 3,Focus,52200000.0,60800000,2015,tt3195644,Insidious Chapter 3,Insidious: Chapter 3,2015.0,97.0,"Horror,Mystery,Thriller"
308,53,2017-11-03,Lady Bird,10000000.0,48958273.0,78610769.0,2017,Nov,Lady Bird - 2017,68610769.0,87.27909658281044,low budget,Lady Bird,A24,49000000.0,30000000,2017,tt4925292,Lady Bird,Lady Bird,2017.0,94.0,"Comedy,Drama"
309,56,2018-06-08,Hereditary,10000000.0,44069456.0,70133905.0,2018,Jun,Hereditary - 2018,60133905.0,85.74156108946165,low budget,Hereditary,A24,44100000.0,35300000,2018,tt7784604,Hereditary,Hereditary,2018.0,127.0,"Drama,Horror,Mystery"
310,61,2017-10-27,Jigsaw,10000000.0,38052832.0,102445196.0,2017,Oct,Jigsaw - 2017,92445196.0,90.23868332488719,low budget,Jigsaw,LGF,38100000.0,64900000,2017,tt3348730,Jigsaw,Jigsaw,2017.0,92.0,"Crime,Horror,Mystery"
311,73,2015-03-06,The Second Best Exotic Marigold Hotel,10000000.0,33078266.0,90384306.0,2015,Mar,The Second Best Exotic Marigold Hotel - 2015,80384306.0,88.93613234138236,low budget,The Second Best Exotic Marigold Hotel,FoxS,33100000.0,52900000,2015,tt2555736,The Second Best Exotic Marigold Hotel,The Second Best Exotic Marigold Hotel,2015.0,122.0,"Comedy,Drama"
312,80,2018-08-10,Slender Man,10000000.0,30564825.0,51723644.0,2018,Aug,Slender Man - 2018,41723644.0,80.6664820444592,low budget,Slender Man,SGem,30600000.0,21200000,2018,tt5690360,Slender Man,Slender Man,2018.0,93.0,"Horror,Mystery,Thriller"
313,85,2016-09-09,When the Bough Breaks,10000000.0,29747603.0,30768449.0,2016,Sep,When the Bough Breaks - 2016,20768449.0,67.4991742352694,low budget,When the Bough Breaks,SGem,29700000.0,911000,2016,tt1389139,When the Bough Breaks,When the Bough Breaks,2016.0,107.0,"Crime,Drama,Horror"
