,id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,year_x,movie_and_year,profit,profit_margin,budget_tier,title,studio,domestic_gross_y,foreign_gross,year_y
24,67,2015-04-03,Furious 7,190000000.0,353007020.0,1518722794.0,2015,Furious 7 - 2015,1328722794.0,87.48948782815201,super-high budget,Furious 7,Uni.,353000000.0,"1,163.0",2015
25,73,2015-11-25,The Good Dinosaur,187500000.0,123087120.0,333771037.0,2015,The Good Dinosaur - 2015,146271037.0,43.82376563128814,super-high budget,The Good Dinosaur,BV,123100000.0,209100000,2015
26,78,2017-03-10,Kong Skull Island,185000000.0,168052812.0,561072059.0,2017,Kong Skull Island - 2017,376072059.0,67.02740814972574,super-high budget,,,,,
27,79,2016-07-22,Star Trek Beyond,185000000.0,158848340.0,335802233.0,2016,Star Trek Beyond - 2016,150802233.0,44.90804949471554,super-high budget,Star Trek Beyond,Par.,158800000.0,184600000,2016
28,80,2017-10-06,Blade Runner 2049,185000000.0,92054159.0,259357408.0,2017,Blade Runner 2049 - 2017,74357408.0,28.66986085857243,super-high budget,Blade Runner 2049,WB,92100000.0,167200000,2017
29,81,2019-05-24,Aladdin,182000000.0,246734314.0,619234314.0,2019,Aladdin - 2019,437234314.0,70.60886390091102,super-high budget,,,,,
30,82,2017-11-03,Thor Ragnarok,180000000.0,315058289.0,846980024.0,2017,Thor Ragnarok - 2017,666980024.0,78.7480229876118,super-high budget,,,,,
31,84,2014-05-30,Maleficent,180000000.0,241407328.0,758536735.0,2014,Maleficent - 2014,578536735.0,76.27010114414564,super-high budget,Maleficent,BV,241400000.0,517100000,2014
32,85,2016-11-18,Fantastic Beasts and Where to Find Them,180000000.0,234037575.0,802402853.0,2016,Fantastic Beasts and Where to Find Them - 2016,622402853.0,77.56737786673847,super-high budget,,,,,
33,88,2016-07-01,The Legend of Tarzan,180000000.0,126643061.0,348902025.0,2016,The Legend of Tarzan - 2016,168902025.0,48.40958575691844,super-high budget,The Legend of Tarzan,WB,126600000.0,230100000,2016
34,90,2017-07-21,Valerian and the City of a Thousand Planets,180000000.0,40479370.0,215098356.0,2017,Valerian and the City of a Thousand Planets - 2017,35098356.0,16.31735204893895,super-high budget,Valerian and the City of a Thousand Planets,STX,41200000.0,184700000,2017
35,91,2015-02-06,Jupiter Ascending,179000000.0,47482519.0,181982519.0,2015,Jupiter Ascending - 2015,2982519.0,1.6389041191368499,super-high budget,Jupiter Ascending,WB,47400000.0,136600000,2015
36,92,2018-07-27,Mission ImpossibleâFallout,178000000.0,220159104.0,787456552.0,2018,Mission ImpossibleâFallout - 2018,609456552.0,77.39557826423419,super-high budget,,,,,
37,93,2016-05-27,XMen Apocalypse,178000000.0,155442489.0,542537546.0,2016,XMen Apocalypse - 2016,364537546.0,67.19121076276627,super-high budget,,,,,
38,94,2018-08-10,The Meg,178000000.0,145443742.0,529530715.0,2018,The Meg - 2018,351530715.0,66.38533045245543,super-high budget,The Meg,WB,145400000.0,384800000,2018
39,95,2014-06-06,Edge of Tomorrow,178000000.0,100206256.0,370541256.0,2014,Edge of Tomorrow - 2014,192541256.0,51.962164234689155,super-high budget,Edge of Tomorrow,WB,100200000.0,270300000,2014
40,96,2019-03-08,Captain Marvel,175000000.0,426525952.0,1123061550.0,2019,Captain Marvel - 2019,948061550.0,84.41759492166747,super-high budget,,,,,
41,97,2016-04-15,The Jungle Book,175000000.0,364001123.0,962854547.0,2016,The Jungle Book - 2016,787854547.0,81.8248768159995,super-high budget,,,,,
42,98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,Inside Out - 2015,679235992.0,79.51385780523282,super-high budget,Inside Out,BV,356500000.0,501100000,2015
43,99,2017-07-07,SpiderMan Homecoming,175000000.0,334201140.0,880166350.0,2017,SpiderMan Homecoming - 2017,705166350.0,80.11739485382508,super-high budget,,,,,
44,100,2016-08-05,Suicide Squad,175000000.0,325100054.0,746059887.0,2016,Suicide Squad - 2016,571059887.0,76.54343799347035,super-high budget,Suicide Squad,WB,325100000.0,421700000,2016
45,2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,2017,Coco - 2017,623008101.0,78.0703980597811,super-high budget,Coco,BV,209700000.0,597400000,2017
46,3,2018-11-21,Ralph Breaks The Internet,175000000.0,201091711.0,524283695.0,2018,Ralph Breaks The Internet - 2018,349283695.0,66.62112484730237,super-high budget,,,,,
47,5,2017-06-16,Cars 3,175000000.0,152901115.0,383541369.0,2017,Cars 3 - 2017,208541369.0,54.372588162712645,super-high budget,Cars 3,BV,152900000.0,231000000,2017
48,13,2018-06-22,Jurassic World Fallen Kingdom,170000000.0,417719760.0,1305772799.0,2018,Jurassic World Fallen Kingdom - 2018,1135772799.0,86.9808897742248,super-high budget,,,,,
